clean_name,clean_price,clean_rating,processor_brand,processor_core,generation,clean_ram,clean_os,clean_display,touchscreen,clean_ssd,clean_hdd,clean_warranty
HP,63390,4.8,AMD,Ryzen 5,0,8,Windows 11 ,15.6,0,512,0,1
ASUS,93819,4.3,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
ASUS,241990,4.2,Intel,Intel Core i9,12,32,Windows 11 ,15.6,0,1024,0,1
ASUS,42990,4.2,AMD,Ryzen 5,0,8,Windows 11 ,14.0,0,512,0,1
Lenovo,37990,2.7,Intel,Intel Core i3,12,8,DOS ,14.0,0,512,0,1
ASUS,94990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.6,0,512,0,1
MSI,62990,4.3,Intel,Intel Core i5,11,16,Windows 11 ,15.6,0,256,1024,2
MSI,56990,4.2,Intel,Intel Core i5,11,16,Windows 11 ,15.6,0,512,0,2
ASUS,82990,4.2,Intel,Intel Core i5,13,16,Windows 11 ,15.6,0,512,0,1
Acer,49990,4.2,AMD,Ryzen 5,0,8,Windows 11 ,14.0,0,512,0,1
DELL,115790,4.2,Intel,Intel Core i5,11,16,Windows 11 ,13.4,0,512,0,1
HP,65499,4.2,Intel,Intel Core i5,13,8,Windows 11 ,15.6,0,512,0,1
HP,60990,4.2,AMD,Ryzen 7,0,8,Windows 10 ,14.0,0,512,0,1
MSI,290990,4.2,Intel,Intel Core i9,13,32,Windows 11 ,16.0,0,1024,0,2
ASUS,67990,4.5,Intel,Intel Core i5,10,8,Windows 11 ,15.6,0,1024,0,1
MSI,489990,4.2,Intel,Intel Core i9,13,64,Windows 11 ,17.3,0,2,0,2
Lenovo,36990,4.2,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,512,0,1
ASUS,178490,4.2,AMD,Ryzen 7,0,32,Windows 11 ,16.0,0,0,0,1
HP,53790,4.2,AMD,Intel Core i5,13,8,Windows 11 ,15.0,0,512,0,1
Acer,69000,3.4,Intel,Intel Core i5,12,16,Windows 11 ,15.6,0,512,0,1
ASUS,112990,4.3,AMD,Ryzen 7,0,16,Windows 11 ,14.0,1,1024,0,1
MSI,193990,4.2,Intel,Intel Core i9,13,16,Windows 11 ,17.3,0,1024,0,2
HP,38990,4.3,AMD,Ryzen 3,0,8,Windows 11 ,15.6,0,512,0,1
DELL,109990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,15.0,0,512,0,1
ALIENWARE,325990,4.6,Intel,Intel Core i9,10,32,Windows 10 ,15.6,0,1024,0,1
ASUS,62990,4.2,Intel,Intel Core i5,11,8,Windows 11 ,15.6,0,1024,0,1
HP,34790,4.3,AMD,Ryzen 3,0,8,Windows 11 ,15.6,0,512,0,1
DELL,66890,3.9,Intel,Intel Core i5,12,16,Windows 11 ,16.0,0,512,0,1
MSI,275990,4.2,Intel,Intel Core i7,12,32,Windows 11 ,15.6,0,1024,0,2
MSI,244990,4.2,Intel,Intel Core i7,13,16,Windows 11 ,16.0,0,1024,0,1
MSI,159990,4.2,Intel,Intel Core i9,13,16,Windows 11 ,15.6,0,1024,0,2
MSI,135990,4.0,Intel,Intel Core i7,11,16,Windows 10 ,15.6,1,1024,0,2
ASUS,74990,4.5,AMD,Ryzen 5,0,16,Windows 11 ,14.0,0,512,0,1
Acer,38700,4.3,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,512,0,1
DELL,75990,4.2,Intel,Intel Core i5,11,16,Windows 11 ,14.0,1,512,0,1
MSI,116990,4.2,AMD,Ryzen 7,7,16,Windows 11 ,17.3,0,1024,0,1
MSI,145990,4.2,Intel,Intel Core i7,13,8,Windows 11 ,17.3,0,1024,0,1
MSI,99990,4.2,AMD,Ryzen 5,7,16,Windows 11 ,15.6,0,512,0,1
ASUS,124990,4.2,Intel,Intel Core i5,13,16,Windows 11 ,16.0,0,512,0,1
Acer,199990,5.0,Intel,Intel Core i9,13,16,Windows 11 ,16.0,0,1024,0,1
DELL,89976,4.2,AMD,Ryzen 7,0,16,Windows 11 ,14.0,0,512,0,1
HP,196990,4.2,Intel,Intel Core i7,12,32,Windows 11 ,17.3,0,1024,0,1
Lenovo,114990,4.2,Intel,Intel Core i7,13,16,Windows 11 ,15.6,0,512,0,1
DELL,40490,4.0,Intel,Intel Core i3,11,8,Windows 11 ,15.6,0,512,0,1
ASUS,34990,4.3,Intel,Intel Core i3,10,4,Windows 11 ,15.6,0,512,0,1
ASUS,69990,4.2,AMD,Ryzen 5,0,16,Windows 11 ,15.6,0,512,0,1
ASUS,134990,4.2,AMD,Ryzen 9,0,16,Windows 11 ,14.0,1,1024,0,1
ASUS,28090,4.3,Intel,Intel Multi Core,0,4,Windows 11 ,11.6,1,128,0,1
HP,83999,4.1,Intel,Intel Core i5,13,16,Windows 11 ,14.0,1,1024,0,1
ASUS,114990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,13.3,1,1024,0,1
MSI,125990,4.2,Intel,Intel Core i7,13,16,Windows 11 ,15.6,0,1024,0,2
Lenovo,85990,4.2,AMD,Ryzen 7,0,16,Windows 11 ,13.3,1,512,0,3
